3D-tulostin	substantiivi
4H-kerho	substantiivi
4H-toiminta	substantiivi
aamu-uutiset	substantiivi
aamuyö	substantiivi
ahtaus	substantiivi
ahtaus	substantiivi
aimo	adjektiivi
ainut	adjektiivi
ajovalot	substantiivi
ajuruoho	substantiivi
akselivallat	substantiivi
akuhieronta	substantiivi
akuhoito	substantiivi
akupainanta	substantiivi
akupiste	substantiivi
akupunktio	substantiivi
alfasäteet	substantiivi
aliarviointi	substantiivi
aliarvostus	substantiivi
aliedustus	substantiivi
alihankinta	substantiivi
alihankkija	substantiivi
alihinta	substantiivi
alijohtaja	substantiivi
alijäämä	substantiivi
alikehittynyt	adjektiivi
alikersantti	substantiivi
alikulku	substantiivi
alikäytävä	substantiivi
aliluutnantti	substantiivi
alilämpö	substantiivi
alinopeus	substantiivi
alioikeus	substantiivi
alipalkkaus	substantiivi
alipäällikkö	substantiivi
alipäällystö	substantiivi
aliravitsemus	substantiivi
alisuorittaja	substantiivi
alitajunta	substantiivi
aliupseeri	substantiivi
aliupseeristo	substantiivi
aliurakointi	substantiivi
alivakuutus	substantiivi
alivoima	substantiivi
alkeistiedot	substantiivi
alkoholilainsäädäntö	substantiivi
alkusanat	substantiivi
alkuunpanija	substantiivi
alkuvaikeudet	substantiivi
alkuyö	substantiivi
alpi	substantiivi
aluevaalit	substantiivi
alullepanija	substantiivi
aneurysma	substantiivi
A-oikeudet	substantiivi
appi	substantiivi
appi	substantiivi
appivanhemmat	substantiivi
aprilli	substantiivi
A-pylväs	substantiivi
arkiolot	substantiivi
aselepoehdot	substantiivi
asetussanat	substantiivi
asiakirjakannet	substantiivi
asumiskulut	substantiivi
asumiskustannukset	substantiivi
asumismenot	substantiivi
asuntomessut	substantiivi
asunto-olot	substantiivi
aurinkolasit	substantiivi
au-äiti	substantiivi
avajaisjuhlallisuudet	substantiivi
avatar	substantiivi
avo	adjektiivi
avoauto	substantiivi
avoero	substantiivi
avohoito	substantiivi
avohuolto	substantiivi
